Size	Solution	Time(s)	Full Contraction time(s)	Discovery time(s)	Error(%)
10	6	0.148	0.0	0.003	0.0
11	8	0.065	0.0	0.003	0.0
12	9	0.05	0.0	0.003	0.0
13	15	1.351	0.0	0.056	0.0
14	16	1.269	0.0	0.055	0.0
15	14	1.174	0.0	0.051	0.0
16	10	1.213	0.0	0.054	0.0
17	19	8.367	0.001	0.296	0.0
18	15	8.423	0.001	0.291	0.0
19	18	8.695	0.001	0.467	0.0
1	2	0.0	0.0	0.0	0.0
20	16	8.121	0.001	0.297	0.0
21	22	33.663	0.001	1.046	0.0
22	23	33.544	0.022	1.3	0.0
23	19	33.724	0.001	1.019	0.0
24	24	34.028	0.001	1.183	0.0
25	34	103.138	0.003	2.327	0.0
26	29	97.799	0.002	2.48	0.0
27	36	104.319	0.002	2.292	0.0
28	31	94.994	0.002	2.388	0.0
29	37	265.887	0.006	4.974	0.0
2	1	0.0	0.0	0.0	0.0
30	35	256.481	0.005	4.949	0.0
31	41	257.245	0.007	5.475	0.0
32	39	257.903	0.005	5.027	0.0
33	42	575.493	0.01	9.654	0.0
34	45	587.086	0.007	10.986	0.0
35	53	660.383	0.009	10.466	0.0
36	43	586.14	0.006	9.82	0.0
37	54	1231.809	0.012	17.963	0.0
38	52	1183.775	0.011	18.814	0.0
39	51	1280.783	0.013	18.153	0.0
3	3	0.0	0.0	0.0	0.0
40	61	2812.503	0.025	36.294	0.0
4	4	0.0	0.0	0.0	0.0
5	4	0.002	0.0	0.0	0.0
6	3	0.001	0.0	0.001	0.0
7	2	0.001	0.0	0.0	0.0
8	1	0.002	0.0	0.0	0.0
9	7	0.097	0.0	0.006	0.0
